_¶é__³è,"If you do wish to participate in the research study, please select ""Agree"".",(1) Current country/area of residence?,(2) What is your current occupation?,(3) Your primary programming language?,(4) What best describes your primary role?,(5) How many years of experience do you have with your primary role?,(1) Do you think refactoring is an important part of DL software development process?,(2) Do you think the refactoring operations below are important in DL projects? [Rename],(2) Do you think the refactoring operations below are important in DL projects? [Move],(2) Do you think the refactoring operations below are important in DL projects? [Extract],(2) Do you think the refactoring operations below are important in DL projects? [Inline],(2) Do you think the refactoring operations below are important in DL projects? [Pull up],(2) Do you think the refactoring operations below are important in DL projects? [Push down],(2) Do you think the refactoring operations below are important in DL projects? [API Refactoring],(2) Do you think the refactoring operations below are important in DL projects? [Consolidate or Decompose Conditional Expression],(2) Do you think the refactoring operations below are important in DL projects? [Remove Dead Code],(3) Do you think refactoring operations below are frequently used in DL projects? [Rename],(3) Do you think refactoring operations below are frequently used in DL projects? [Move],(3) Do you think refactoring operations below are frequently used in DL projects? [Extract],(3) Do you think refactoring operations below are frequently used in DL projects? [Inline],(3) Do you think refactoring operations below are frequently used in DL projects? [Pull up],(3) Do you think refactoring operations below are frequently used in DL projects? [Push down],(3) Do you think refactoring operations below are frequently used in DL projects? [API Refactoring],(3) Do you think refactoring operations below are frequently used in DL projects? [Consolidate or Decompose Conditional Expression],(3) Do you think refactoring operations below are frequently used in DL projects? [Remove Dead Code],"(4) If you have a refactoring operation to add, please write it below.",(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Variable],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Statement],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Method],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Class],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Module],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Variable],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Statement],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Method],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Class],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Module],(1) Have you used or are you familiar with code smell detection tools?,"(2) If you have used code smell detection tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying code smell detection tools so far?",(4) Have you used or are you familiar with automatic refactoring tools?,"(5) If you have used automatic refactoring tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying automatic refactoring tools so far?",(6) Have you encountered any challenges or obstacles when using automatic refactoring tools? Please describe.,(1) Do you have any suggestions on how to improve automatic refactoring tools? ,"(2) Thank you very much for participating in our survey. If you have any additional comments or ideas, please feel free to share them below."
2023-11-8 ä¸__08:42:50,Agree,India,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Neutral,Strong Agree,Agree,Agree,Strong Agree,,,Neutral,Neutral,Strong Agree,Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Agree,Yes,Use things like sonarcube but they seem to detect lot more false positives. Linting(like pyflake) and auto-refactor tools seem much more useful.,Yes,Find it very useful and have set it up to perfom on every save.,Generally long line breaks are bad. Needs human intervention often. Sometimes they end up creating lot less readable code. Strict formatting doesn't always result in readable code.,"Making it a bit more context aware, simple pattern matching to format is not always good. Essentially add intellisense like intelligence to refactoring tools",
2023-11-10 ä¸__10:22:43,Agree,Canada,Academic or industrial researcher,"C/C++, Python",Development,2 to 3 years,Agree,Agree,Neutral,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,,Neutral,Neutral,Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Neutral,Neutral,Yes,"autopep8, yapf, black",Yes,Github copilot,"not with tool, but with goal",simple to use,
2023-11-14 ä¸__04:58:13,Agree,United States,Industrial or freelance professional,"Java, Python, C#",Development,6 to 9 years,Strong Agree,Agree,Agree,Strong Agree,Agree,Agree,Neutral,Agree,Agree,Strong Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Strong Agree,Disagree,Agree,,Agree,Agree,Strong Agree,Strong Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,IntelliJ for Java has many configurable code smells indicators that I find useful,No,Not aware of them ,"My main concern would be ease of setting them up. Also some open source projects are not well tested, which would give me concerns about the changes potentially breaking something. ",,
2023-11-14 ä¸__03:53:17,Agree,The Netherlands ,Academic or industrial researcher,Python,Algorithm/ML Model Design,10 years or more,Neutral,Strong Agree,Strongly Disagree,Strong Agree,Strong Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Strongly Disagree,I don't Know,Disagree,Document publication outcomes in a notebook for reproducibility ,Strong Agree,Strong Agree,Strong Agree,Strongly Disagree,Agree,Strong Agree,Strong Agree,Agree,Strongly Disagree,Agree,No,"Time, knowledge ",Yes,,Options usually disappear easily when hovering the mouse wrong or poorly,,
2023-11-13 ä¸__02:38:51,Agree,Russia,Industrial or freelance professional,"C/C++, Python, JavaScript",Development,10 years or more,Agree,Agree,Neutral,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Don't know what to add,Neutral,Neutral,Agree,Agree,Strong Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Yes,,Yes,,,,
2023-11-13 ä¸__10:08:59,Agree,India,Undergraduate/graduate student,JavaScript,Development,0 to 1 year,Agree,Neutral,Strong Agree,Agree,Strong Agree,I don't Know,I don't Know,Agree,Strong Agree,Strong Agree,Disagree,Strong Agree,Strong Agree,Strong Agree,I don't Know,I don't Know,Strong Agree,Strong Agree,Disagree,Na,Neutral,Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,,Yes,,,,
2023-11-11 ä¸__04:55:13,Agree,Spain,Industrial or freelance professional,Java,Project Manager,10 years or more,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,rearchitecture,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Too many false positives,No,,,,
2023-11-9 ä¸__02:43:32,Agree,The Netherlands,Industrial or freelance professional,Python,Algorithm/ML Model Design,6 to 9 years,Strong Agree,Agree,Agree,Neutral,Strong Agree,Agree,Neutral,Strong Agree,I don't Know,,Strong Agree,Agree,Strong Agree,Neutral,Agree,Neutral,Strong Agree,Agree,,Split into modules ,Neutral,Agree,Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Agree,Strong Agree,No,"Use mypy for typing issues, too much errors that are bot that important",Yes,"i don't like autoformatters like black, because their style do not aligh with my sense of beauty",,Make it adjust to user preferences,
2023-11-12 ä¸__12:06:44,Agree,Switzerland,Industrial or freelance professional,Python,Development,2 to 3 years,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Strong Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Switching from inheritance to composition when appropriate,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,No,,No,,,,
2023-11-8 ä¸__04:15:05,Agree,france,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,I don't Know,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,,upgrading packages,Strong Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Yes,,No,,,,
2023-11-8 ä¸__06:28:36,Agree,India,Undergraduate/graduate student,Python,Algorithm/ML Model Design,2 to 3 years,Agree,Neutral,Neutral,Strong Agree,Strong Agree,Disagree,Disagree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Disagree,Disagree,Strong Agree,Strong Agree,,,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,No,,No,,,,
2023-11-11 ä¸__02:33:51,Agree,United States,Undergraduate/graduate student,"Java, Python",Algorithm/ML Model Design,2 to 3 years,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,,Strong Agree,Agree,Strong Agree,Agree,Neutral,Strong Agree,Neutral,Strong Agree,Agree,Neutral,No,,No,,,,
2023-11-13 ä¸__06:58:44,Agree,Vietnam,Undergraduate/graduate student,Python,Algorithm/ML Model Design,2 to 3 years,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strong Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strong Agree,,Neutral,Agree,Strong Agree,Agree,Agree,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,No,,No,,,,
2023-11-9 ä¸__05:01:14,Agree,UK,Undergraduate/graduate student,Python,Algorithm/ML Model Design,4 to 5 years,Agree,Agree,Agree,Agree,Agree,I don't Know,I don't Know,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,,Yes,,,,
2023-11-11 ä¸__02:43:36,Agree,China,Undergraduate/graduate student,Python,Algorithm/ML Model Design,6 to 9 years,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,No,,No,,,,
2023-11-16 ä¸__03:08:20,Agree,United States of America,Undergraduate/graduate student,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,No,,Yes,,,,
2023-11-9 ä¸__02:20:23,Agree,USA,Undergraduate/graduate student,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Agree,Agree,Strong Agree,Agree,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Neutral,Neutral,Strong Agree,Agree,,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,No,Unaware of this type of tool,Yes,,,https://arxiv.org/abs/2310.19791,
2023-11-13 ä¸__12:05:04,Agree,United States of America,Industrial or freelance professional,"Python, R",Algorithm/ML Model Design,10 years or more,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,Strong Agree,Agree,Strong Agree,Neutral,Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,No,,No,,,,
2023-11-15 ä¸__10:09:05,Agree,Germany,Industrial or freelance professional,Python,Algorithm/ML Model Design,2 to 3 years,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,
2023-11-13 ä¸__01:01:06,Agree,Tokyo,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strong Agree,Neutral,Disagree,,Agree,Strong Agree,Strong Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,No,Low priority,Yes,Good to use,,,
2023-11-15 ä¸__03:02:25,Agree,United States of America,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strong Agree,I don't Know,Strong Agree,Agree,Agree,Agree,I don't Know,I don't Know,I don't Know,Agree,Agree,Neutral,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,No,,No,,,,
2023-11-10 ä¸__04:14:08,Agree,Europe,Industrial or freelance professional,Python,Algorithm/ML Model Design,6 to 9 years,Agree,Agree,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Agree,Strong Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Yes,,Yes,,,,
2023-11-12 ä¸__05:07:06,Agree,United States ,Industrial or freelance professional,Python,Algorithm/ML Model Design,2 to 3 years,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Neutral,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Yes,,Yes,,,,
2023-11-11 ä¸__09:54:17,Agree,India,Industrial or freelance professional,Python,Algorithm/ML Model Design,0 to 1 year,Strong Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,"I have used several at times and when in crisis they are really helpful. But in order to learn to practice the best way of coding and refactoring, I try to not use them initially. I do however initiate them when finally merging the PR.",Yes,,,,
2023-11-10 ä¸__09:48:00,Agree,France,Industrial or freelance professional,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strong Agree,Neutral,Strongly Disagree,,I don't Know,I don't Know,Strong Agree,Agree,Agree,I don't Know,I don't Know,Agree,Agree,Agree,No,,No,,,,
2023-11-13 ä¸__05:20:11,Agree,USA,Industrial or freelance professional,"C/C++, Python",Algorithm/ML Model Design,2 to 3 years,Strong Agree,Disagree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strong Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,,No,,,,
2023-11-14 ä¸__03:45:48,Agree,Canada,Industrial or freelance professional,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,I don't Know,I don't Know,Strong Agree,Strong Agree,Strong Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,Yes,"ruff has been helpful, pylint is too hard to configure and anything more complex is too annoying",No,,,,
2023-11-13 ä¸__08:20:17,Agree,China,Industrial or freelance professional,"C/C++, Python",Algorithm/ML Model Design,4 to 5 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Neutral,Agree,Agree,Strong Agree,Strong Agree,,Neutral,Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Neutral,No,,Yes,,,,
2023-11-16 ä¸__05:40:56,Agree,USA,Industrial or freelance professional,"C/C++, Python, Rust",Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,I don't Know,I don't Know,Agree,I don't Know,Neutral,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,I don't Know,Strong Agree,Neutral,Neutral,Neutral,Disagree,Yes,great,Yes,,,,
2023-11-14 ä¸__04:00:29,Agree,,Industrial or freelance professional,Python,Algorithm/ML Model Design,6 to 9 years,Strong Agree,Agree,Agree,Agree,Strong Agree,I don't Know,I don't Know,Strong Agree,Agree,Strong Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,I don't Know,I don't Know,Agree,Strongly Disagree,Agree,,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,No,,Yes,,,,
2023-12-5 ä¸__03:09:59,Agree,Beijing,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Disagree,Strong Agree,Disagree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Agree,Agree,Yes,Pylance,No,,,,
2023-11-12 ä¸__01:21:54,Agree,Europe,Academic or industrial researcher,Python,Algorithm/ML Model Design,2 to 3 years,Agree,Agree,Neutral,Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Agree,Neutral,Agree,Strong Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,No,,,,
2023-11-15 ä¸__07:42:41,Agree,Germany,Academic or industrial researcher,Python,Algorithm/ML Model Design,2 to 3 years,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Yes,,No,,,,
2023-11-13 ä¸__08:20:18,Agree,Spain,Academic or industrial researcher,Python,Algorithm/ML Model Design,4 to 5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,No,,,,
2023-11-14 ä¸__12:43:11,Agree,USA,Academic or industrial researcher,Python,Algorithm/ML Model Design,4 to 5 years,Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,,Neutral,Agree,Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree,No,,Yes,,,,
2023-11-14 ä¸__08:29:36,Agree,Japan,Academic or industrial researcher,Python,Algorithm/ML Model Design,4 to 5 years,Agree,Agree,Agree,Disagree,Agree,Strong Agree,Neutral,Agree,I don't Know,Strong Agree,Agree,Agree,Disagree,Strong Agree,Strong Agree,Agree,I don't Know,I don't Know,Strong Agree,,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Agree,No,,No,,,,
2023-11-11 ä¸__04:17:34,Agree,Copenhagen,Academic or industrial researcher,"C/C++, Python",Algorithm/ML Model Design,6 to 9 years,Agree,Agree,Neutral,Strong Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,No,Better off myself,Yes,Black and extansions ont-op,,,
2023-11-12 ä¸__03:54:57,Agree,china,Academic or industrial researcher,Python,Algorithm/ML Model Design,6 to 9 years,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,,Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,,,No,,,,
2023-11-13 ä¸__11:07:51,Agree,USA,Academic or industrial researcher,"C/C++, Python",Algorithm/ML Model Design,6 to 9 years,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,No,,No,,,,
2023-11-14 ä¸__04:13:40,Agree,Brazil,Academic or industrial researcher,Python,Algorithm/ML Model Design,6 to 9 years,Agree,Agree,Agree,Agree,Strong Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strong Agree,Disagree,Agree,Agree,Disagree,Agree,,Agree,Agree,Strong Agree,Neutral,Strongly Disagree,Strong Agree,Agree,Strong Agree,Agree,Disagree,Yes,They are built for only traditional software eng,No,,,,
2023-11-14 ä¸__10:37:33,Agree,USA,Academic or industrial researcher,"C/C++, Python",Algorithm/ML Model Design,6 to 9 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,No,,,,
2023-11-14 ä¸__12:03:01,Agree,USA,Academic or industrial researcher,Python,Algorithm/ML Model Design,2 to 3 years,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,,Agree,Disagree,Strong Agree,Agree,Neutral,Neutral,Strong Agree,Strong Agree,Agree,Neutral,No,,No,,,,
2023-11-11 ä¸__07:35:36,Agree,France,Academic or industrial researcher,"Python, Rust",Algorithm/ML Model Design,4 to 5 years,Neutral,Strong Agree,Neutral,Agree,Neutral,Agree,Strong Agree,Neutral,Agree,Agree,Strong Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Yes,"Pre-commit, linter",No,,,,
2023-11-14 ä¸__11:00:13,Agree,Bosnia and Herzegovina ,Academic or industrial researcher,"Java, Python",Algorithm/ML Model Design,10 years or more,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Neutral,Agree,Strong Agree,Disagree,Strong Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Agree,Agree,No,,No,,,,
2023-11-12 ä¸__08:46:58,Agree,US,Academic or industrial researcher,"C/C++, Python",Algorithm/ML Model Design,4 to 5 years,Strong Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strong Agree,Agree,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Yes,,No,,,,
2023-11-20 ä¸__03:06:53,Agree,India,Academic or industrial researcher,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,I don't Know,Neutral,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Disagree,Disagree,Neutral,Neutral,No,,Yes,,,,
2023-11-13 ä¸__06:43:40,Agree,Australia,Academic or industrial researcher,Python,Algorithm/ML Model Design,6 to 9 years,Strong Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strong Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,No,,No,,,,
2023-11-13 ä¸__04:15:37,Agree,India,Industrial or freelance professional,"Python, SQL",Architect,10 years or more,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,No,,No,,,,
2023-11-13 ä¸__12:18:25,Agree,India,Industrial or freelance professional,"Java, Python",Architect,4 to 5 years,Strong Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strong Agree,Agree,Agree,I don't Know,I don't Know,I don't Know,I don't Know,Strongly Disagree,Agree,Neutral,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,it is good.,No,,,,
2023-11-10 ä¸__12:16:38,Agree,Butan ,Academic or industrial researcher,"Java, C/C++, Python, JavaScript, C#",Architect,10 years or more,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,,Agree,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,,Neutral,Neutral,Strongly Disagree,,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Yes,Useless but very impressive ,Yes,So so,Sure,,
2023-11-17 ä¸__03:41:45,Agree,,Academic or industrial researcher,"Python, Go",Architect,6 to 9 years,Agree,Strong Agree,Strong Agree,Agree,Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,Code smell detection tools are excellent in making sure consistent code is built by a team,No,,,,
2023-11-9 ä¸__06:50:23,Agree,Brazil,Academic or industrial researcher,Python,Architect,10 years or more,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Strong Agree,Strong Agree,Neutral,Strong Agree,Agree,Neutral,Neutral,Agree,Neutral,Strong Agree,,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Yes,Sometimes they can be too opinionated,No,,,,
